"Num_Acc","date","lat","long","categorie","v_max","plan","largeur_TPC","largeur_chaussée","etat_surface","Aménagement","Situation_accident","dep"
"201900021451","2019-07-01T00:00:00.000000","   46.842973","   -0.467103","Route nationale","         110","Partie rectiligne","          30","         140","Normale","Aucun","Sur chaussée","          79"
"202100008985","2021-11-07T00:00:00.000000","   46.134386","      0.1768","Route nationale","         110","Partie rectiligne","          27","          15","Mouillée","Aucun","Sur chaussée","          79"
"202100009017","2021-11-08T00:00:00.000000","   46.408274","   -0.144539","Autoroute","         130","Partie rectiligne","           4","          19","Normale","Aucun","Sur chaussée","          79"
"202100012919","2021-10-16T00:00:00.000000","    46.66211","   -0.238116","Voie Communales","          50","Partie rectiligne","          35","           0","Normale","Aucun","Sur chaussée","          79"
"202100013744","2021-10-04T00:00:00.000000","   46.937385","   -0.747601","Route nationale","         110","Partie rectiligne","           3","         135","Normale","Pont - autopont","Sur chaussée","          79"
"202100013990","2021-10-09T00:00:00.000000","   46.992284","    -0.19964","Voie Communales","          50","En courbe à gauche","          61","          -1","Normale","Aucun","Sur chaussée","          79"
"202100016732","2021-09-27T00:00:00.000000","   46.392959","    -0.19054","Autoroute","         130","En courbe à droite","          45","         145","Autre","Aucun","Sur bande d’arrêt d’urgence","          79"
"202100017472","2021-09-22T00:00:00.000000","    45.68208","    0.219946","Route Départementale","          50","Partie rectiligne","           0","          44","Normale","Aucun","Sur chaussée","          16"
"202100017557","2021-09-23T00:00:00.000000","   45.792658","    0.377221","Route Départementale","          80","En courbe à gauche","           0","           6","Normale","Aucun","Sur accotement","          16"
"202100017558","2021-09-23T00:00:00.000000","     45.8757","    0.176605","Route Départementale","          50","Partie rectiligne","           0","          54","Normale","Aucun","Sur chaussée","          16"
"202100019420","2021-09-13T00:00:00.000000","    46.03749","    0.214834","Route Départementale","          80","Partie rectiligne","           0","          52","Normale","Aucun","Sur chaussée","          16"
"202100020495","2021-09-06T00:00:00.000000","    46.34108","    -0.39114","Route Départementale","         110","Partie rectiligne","           6","          15","Normale","Aucun","Sur chaussée","          79"
"202100022355","2021-08-28T00:00:00.000000","   45.985002","    0.353832","Route Départementale","          70","En S","           0","          -1","Normale","Aucun","Sur chaussée","          16"
"202100022965","2021-08-23T00:00:00.000000","   45.709866","   -0.235681","Route Départementale","          80","En courbe à droite","           0","           6","Normale","Aucun","Sur chaussée","          16"
"202100023509","2021-08-20T00:00:00.000000","   45.807354","    0.452821","Route Départementale","          80","Partie rectiligne","           0","          38","Normale","Aucun","Sur chaussée","          16"
"201900054398","2019-05-22T00:00:00.000000","    46.07478","    0.699871","Route Départementale","          80","Partie rectiligne","           0","           6","Normale","Aucun","Sur chaussée","          16"
"202100023510","2021-08-19T00:00:00.000000","   45.893899","    0.190914","Route nationale","         110","En courbe à gauche","          65","          14","Normale","Aucun","Sur bande d’arrêt d’urgence","          16"
"202100024290","2021-07-20T00:00:00.000000","     45.6813","   -0.294699","Route nationale","          70","Partie rectiligne","           0","           7","Normale","Aucun","Sur chaussée","          16"
"202100024410","2021-08-12T00:00:00.000000","   45.920103","    0.196508","Route nationale","         110","Partie rectiligne","          65","          10","Normale","Aucun","Sur bande d’arrêt d’urgence","          16"
"202100024465","2021-08-13T00:00:00.000000","   45.686167","    0.205033","Route nationale","         110","En courbe à droite","          25","          14","Normale","Aucun","Sur chaussée","          16"
"202100024668","2021-08-11T00:00:00.000000","    45.78467","    0.342148","Route Départementale","          50","Partie rectiligne","           0","           6","Normale","Aucun","Sur chaussée","          16"
"202100025374","2021-08-07T00:00:00.000000","   45.626044","    0.363085","Route Départementale","          90","Partie rectiligne","           0","          58","Normale","Aucun","Sur chaussée","          16"
"202100025533","2021-08-05T00:00:00.000000","   46.073738","    0.234134","Route Départementale","          80","En courbe à gauche","           0","           3","Normale","Aucun","Sur accotement","          16"
"202100025815","2021-08-03T00:00:00.000000","   45.599284","    0.268629","Route Départementale","          90","Partie rectiligne","           0","         105","Normale","Carrefour aménagé","Sur chaussée","          16"
"202100026063","2021-08-01T00:00:00.000000","   45.566181","    0.122263","Voie Communales","          50","Partie rectiligne","           0","          43","Mouillée","Aucun","Sur accotement","          16"
"202100027027","2021-07-26T00:00:00.000000","   45.760272","    0.009911","Route Départementale","          80","En courbe à gauche","           0","          66","Normale","Aucun","Sur chaussée","          16"
"202100027279","2021-07-25T00:00:00.000000","   45.751298","   -0.258212","Route Départementale","          80","Partie rectiligne","           0","          48","Mouillée","Aucun","Sur accotement","          16"
"202100027635","2021-07-22T00:00:00.000000","45.871420885","0.2628223176","Voie Communales","          70","En courbe à gauche","           0","          34","Normale","Aucun","Autres","          16"
"202100027831","2021-07-21T00:00:00.000000","   45.874406","    0.719669","Route Départementale","          50","Partie rectiligne","           0","           7","Normale","Pont - autopont","Sur chaussée","          16"
"202100027832","2021-07-22T00:00:00.000000","   45.615115","    0.293575","Route Départementale","          80","En courbe à droite","           0","          54","Normale","Aucun","Sur accotement","          16"
"201900054399","2019-05-17T00:00:00.000000","   45.985227","    0.677586","Route Départementale","          80","Partie rectiligne","           0","         700","Normale","Aucun","Sur chaussée","          16"
"202100028029","2021-07-20T00:00:00.000000","     45.8552","    0.431438","Route Départementale","          80","En courbe à droite","           0","          47","Normale","Aucun","Sur accotement","          16"
"202100028030","2021-07-21T00:00:00.000000","   45.885565","    0.577485","Route nationale","          50","Partie rectiligne","           0","           7","Normale","Aucun","Sur chaussée","          16"
"202100028222","2021-07-17T00:00:00.000000","   45.864138","     0.30764","Route Départementale","          80","En courbe à droite","           0","          38","Normale","Aucun","Sur chaussée","          16"
"202100028302","2021-07-17T00:00:00.000000","    45.68195","    -0.29872","Route nationale","          70","Partie rectiligne","           0","           7","Normale","Aucun","Sur chaussée","          16"
"202100028741","2021-07-16T00:00:00.000000","   45.892323","    0.340812","Route Départementale","          80","Partie rectiligne","           0","           6","Normale","Aucun","Sur accotement","          16"
"202100029509","2021-07-12T00:00:00.000000","   45.598771","   -0.319998","Route Départementale","          80","En S","           0","           7","Normale","Aucun","Sur chaussée","          16"
"202100030144","2021-04-02T00:00:00.000000","   45.653453","    0.147903","Voie Communales","          50","En courbe à gauche","           0","         105","Normale","Aucun","Sur chaussée","          16"
"202100031687","2021-07-01T00:00:00.000000","   45.621208","    0.256854","Route Départementale","          80","En courbe à droite","           0","           6","Normale","Aucun","Sur chaussée","          16"
"202100032765","2021-06-23T00:00:00.000000","   45.424984","   -0.208011","Voie Communales","          80","Partie rectiligne","           0","          42","Normale","Aucun","Sur chaussée","          16"
"202100033360","2021-06-11T00:00:00.000000","   45.692951","   -0.327449","Voie Communales","          50","Partie rectiligne","           0","           8","Normale","Aucun","Sur chaussée","          16"
"202100033911","2021-06-17T00:00:00.000000","   46.049133","     0.11068","Route Départementale","          80","Partie rectiligne","           0","          56","Normale","Aucun","Sur chaussée","          16"
"202100033942","2021-06-18T00:00:00.000000","   45.748581","    0.367388","Route nationale","         110","Partie rectiligne","          25","          14","Mouillée","Aucun","Sur chaussée","          16"
"202100034371","2021-06-15T00:00:00.000000","   45.953681","    0.589015","Voie Communales","          80","En courbe à gauche","           0","          38","Normale","Aucun","Sur chaussée","          16"
"202100034501","2021-06-14T00:00:00.000000","   46.014612","    0.675549","Route Départementale","          50","Partie rectiligne","           0","           6","Normale","Aucun","Sur chaussée","          16"
"201900054400","2019-05-13T00:00:00.000000","    46.03201","    0.641392","Route Départementale","          80","Partie rectiligne","           0","          11","Normale","Carrefour aménagé","Sur chaussée","          16"
"202100034572","2021-06-13T00:00:00.000000","    43.30489","    -0.40138","Route Départementale","          30","En courbe à gauche","           6","          -1","Normale","Aucun","Sur piste cyclable","          64"
"202100034855","2021-06-13T00:00:00.000000","   45.881323","    0.569733","Route nationale","          70","En courbe à droite","           0","           7","Normale","Chantier","Sur chaussée","          16"
"202100035618","2021-06-09T00:00:00.000000","   45.811216","    0.004457","Route Départementale","          80","En courbe à droite","           0","           4","Normale","Aucun","Sur chaussée","          16"
"202100035790","2021-06-07T00:00:00.000000","    45.57156","   -0.046746","Route Départementale","          50","Partie rectiligne","           0","          55","Normale","Aucun","Sur chaussée","          16"
"202100035926","2021-06-05T00:00:00.000000","    45.67681","     -0.3208","Route nationale","          80","Partie rectiligne","           0","           7","Normale","Aucun","Sur chaussée","          16"
"202100036308","2021-06-06T00:00:00.000000","   46.937261","   -0.747623","Route nationale","         110","Partie rectiligne","           3","          14","Normale","Aucun","Sur chaussée","          79"
"202100037571","2021-05-29T00:00:00.000000","    46.32681","    -0.45049","Voie Communales","          50","Partie rectiligne","           4","          15","Normale","Non renseigné","Sur chaussée","          79"
"202100037707","2021-05-23T00:00:00.000000","   45.667965","    0.094521","Route Départementale","          50","Partie rectiligne","           0","          56","Normale","Aucun","Sur chaussée","          16"
"202100038245","2021-05-25T00:00:00.000000","    45.85918","   -0.003251","Voie Communales","          80","En courbe à gauche","           0","          32","Normale","Aucun","Sur chaussée","          16"
"202100038472","2021-05-26T00:00:00.000000","   45.694233","    0.185753","Voie Communales","          50","Partie rectiligne","           0","           6","Normale","Aucun","Sur accotement","          16"
"202100038670","2021-05-24T00:00:00.000000","   45.654951","   -0.292605","Route Départementale","          70","En courbe à gauche","           0","          52","Mouillée","Aucun","Sur chaussée","          16"
"202100039025","2021-05-22T00:00:00.000000","   45.416688","   -0.190925","Route Départementale","          80","Partie rectiligne","           0","           5","Normale","Aucun","Sur chaussée","          16"
"202100040107","2021-05-14T00:00:00.000000","   45.991675","    0.351171","Voie Communales","          80","En courbe à gauche","           0","          36","Normale","Aucun","Sur accotement","          16"
"202100041545","2021-05-02T00:00:00.000000","   45.680703","   -0.328473","Route Départementale","          50","Partie rectiligne","           0","           7","Normale","Aucun","Sur chaussée","          16"
"201900054402","2019-05-18T00:00:00.000000","   45.430686","   -0.155628","Route Départementale","          80","Partie rectiligne","           0","           7","Normale","Aucun","Sur chaussée","          16"
"202100041834","2021-05-02T00:00:00.000000","   45.638857","   -0.263543","Route Départementale","          80","Partie rectiligne","           0","          48","Normale","Aucun","Sur accotement","          16"
